key,en,zh,status
accountPage.avatarPlaceholder,Avatar placeholder,头像占位,ok
accountPage.displayName,Display name,显示名称,ok
accountPage.email,Email,邮箱,ok
accountPage.eyebrow,Account,账户,ok
accountPage.fullSettingsPending,Full account settings and profile editing are not implemented yet.,完整账户设置和资料编辑尚未实现。,ok
accountPage.noAvatar,No avatar upload is available yet.,暂不支持上传头像。,ok
accountPage.noSupabase,Supabase environment variables are not configured yet.,Supabase 环境变量尚未配置。,ok
accountPage.notSet,Not set,未设置,ok
accountPage.profileDescription,A minimal read-only account profile placeholder. Full profile editing is not implemented yet.,一个最小的只读账户资料占位页。完整资料编辑尚未实现。,ok
accountPage.profileTitle,Profile,个人资料,ok
accountPage.settingsDescription,Account settings are a placeholder for now. Theme and language preferences stay in the header and are stored in this browser.,账户设置暂时是占位页。主题和语言偏好仍放在页头，并保存在此浏览器中。,ok
accountPage.settingsTitle,Settings,设置,ok
accountPage.signedInAs,"[FUNCTION] (email?: string) => `Signed in as ${email ?? """"}`","[FUNCTION] (email?: string) => `当前登录：${email ?? """"}`",ok
accountPage.userId,User ID,用户 ID,ok
auth.createAccount,Create account,创建账户,ok
auth.email,Email,邮箱,ok
auth.eyebrow,Auth,认证,ok
auth.loginDescription,Log in with your email and password. This page is intentionally simple and only covers the base auth flow.,使用邮箱和密码登录。此页面保持简单，只覆盖基础认证流程。,ok
auth.loginTitle,Login,登录,ok
auth.password,Password,密码,ok
auth.passwordLength,Password must be at least 6 characters.,密码至少需要 6 个字符。,ok
auth.passwordPlaceholder,At least 6 characters,至少 6 个字符,ok
auth.pleaseWait,Please wait...,请稍候...,ok
auth.required,Email and password are required.,邮箱和密码为必填项。,ok
auth.signupDescription,Create an account with an email address and password. No profile setup or business data is added at this stage.,使用邮箱和密码创建账户。当前阶段不会添加资料设置或业务数据。,ok
auth.signupTitle,Sign Up,注册,ok
auth.success,"Account created. If email confirmation is enabled in Supabase, check your inbox before logging in.",账户已创建。如果 Supabase 启用了邮箱确认，请先查看收件箱再登录。,ok
auth.unexpected,Unexpected authentication error.,发生了未知认证错误。,ok
collectionContent.actions,Actions,操作,ok
collectionContent.actionsFor,[FUNCTION] (title: string) => `Actions for ${title}`,[FUNCTION] (title: string) => `${title} 的操作`,ok
collectionContent.batchActions,Batch,批量操作,ok
collectionContent.changeLists,Change lists,更改列表,ok
collectionContent.completed,Completed,已看完,ok
collectionContent.copyModalDescription,Choose one custom list. Existing list memberships are kept.,选择一个自定义列表。现有列表归属会保留。,ok
collectionContent.copyModalTitle,Copy selected titles to,复制选中条目到,ok
collectionContent.copyToList,Copy to list,复制到列表,ok
collectionContent.createAnotherList,Create another custom list before using this batch action.,请先创建另一个自定义列表，再使用此批量操作。,ok
collectionContent.createCustomListsHint,Create custom lists from the sidebar or a title detail page.,可在侧栏或标题详情页创建自定义列表。,ok
collectionContent.customLists,Custom lists,自定义列表,ok
collectionContent.deleteSelected,Delete selected,删除选中项,ok
collectionContent.deselectAll,Deselect all,取消全选,ok
collectionContent.episodes,episodes,集,ok
collectionContent.moveAvailableInCustomList,Move is available inside a custom list,移动操作仅在自定义列表中可用,ok
collectionContent.moveModalDescription,Choose a destination list. Titles are removed from the current custom list only.,选择目标列表。条目只会从当前自定义列表中移除。,ok
collectionContent.moveModalTitle,Move selected titles to,移动选中条目到,ok
collectionContent.moveStatusModalDescription,Choose a system collection. Custom-list memberships are kept.,选择一个系统集合。自定义列表归属会保留。,ok
collectionContent.moveStatusModalTitle,Move selected titles to,移动选中条目到,ok
collectionContent.moveToList,Move to list,移动到列表,ok
collectionContent.moveToStatus,Move to status,移动到状态,ok
collectionContent.notRated,Not rated,未评分,ok
collectionContent.notStarted,Not started,未开始,ok
collectionContent.openActionsFor,[FUNCTION] (title: string) => `Open actions for ${title}`,[FUNCTION] (title: string) => `打开 ${title} 的操作菜单`,ok
collectionContent.openDetailPage,Open detail page,打开详情页,ok
collectionContent.progress,Progress,进度,ok
collectionContent.rating,Rating,评分,ok
collectionContent.removeFromMyList,Remove from my list,从我的片单移除,ok
collectionContent.removeFromMyListDescription,"Removes your saved status, rating, review, and custom-list assignments for this title.",会移除此标题的保存状态、评分、短评和自定义列表分配。,ok
collectionContent.removeFromThisList,Remove from this list,从此列表移除,ok
collectionContent.removeFromThisListDescription,"Removes this title from the current custom list only. Your saved status, rating, review, progress, and other list memberships are kept.",只会从当前自定义列表中移除此条目。已保存的状态、评分、短评、进度和其他列表归属会保留。,ok
collectionContent.removeSelectedFromThisList,Remove selected from this list,从此列表移除选中项,ok
collectionContent.saveListChanges,Save list changes,保存列表更改,ok
collectionContent.searchThisCollectionSoon,Search this collection soon,集合内搜索稍后加入,ok
collectionContent.searchTitles,Search titles,搜索条目,ok
collectionContent.selectAll,Select all,全选,ok
collectionContent.selectTitle,[FUNCTION] (title: string) => `Select ${title}`,[FUNCTION] (title: string) => `选择 ${title}`,ok
collectionContent.selectedCount,[FUNCTION] (count: number) => `${count} selected`,[FUNCTION] (count: number) => `已选择 ${count} 项`,ok
collectionContent.sortRecentlyUpdated,Sort: Recently updated,排序：最近更新,ok
collectionContent.updated,[FUNCTION] (date: string) => `Updated ${date}`,[FUNCTION] (date: string) => `更新于 ${date}`,ok
collectionContent.wantToWatch,Want to Watch,想看,ok
collectionContent.watching,Watching,在看,ok
collections.completed,Completed,已看完,ok
collections.completedDescription,Titles you have finished.,已经看完的条目。,ok
